Player,Country,Nationality,Team,GP,MP,GS,PTS,TwoP,TwoPA,TwoPPerc,ThreeP,ThreePA,ThreePPerc,FT,FTA,FTPerc,TRB,DRB,ORB,AST,STL,TOV,Counteratt,BLKfv,BLKag,Dunks,PF,PFrv,PlusMinus,PIR
B. Francis,Dominican Republic,Foreigner,AcunsaGBC,19,240,7,73,16,49,32.7,10,37,27,11,15,73.3,16,11,5,7,10,23,2,2,1,0,28,10,-96,2
D. Radoncic,Germany,Foreigner,AcunsaGBC,36,1010,32,393,120,222,54.1,25,102,24.5,78,107,72.9,203,134,69,61,42,66,30,11,14,9,60,106,-429,468
J. Dee,USA,Foreigner,AcunsaGBC,36,748,18,382,38,100,38,86,214,40.2,48,56,85.7,68,57,11,41,29,52,28,1,6,0,83,56,-187,238
J. Echenique,Colombia,Foreigner,AcunsaGBC,19,366,15,230,86,162,53.1,2,3,66.7,52,65,80,83,45,38,10,21,36,14,17,8,18,52,63,-133,238
J. Olaizola,Spain,Spaniard,AcunsaGBC,36,273,0,49,19,35,54.3,2,9,22.2,5,18,27.8,55,23,32,9,10,18,0,2,2,0,60,14,-89,23
J. Span,Slovenia,Foreigner,AcunsaGBC,36,706,6,214,44,118,37.3,39,168,23.2,9,14,64.3,38,27,11,63,22,49,6,0,9,0,47,30,-272,54
L. Faggiano,Argentina,Foreigner,AcunsaGBC,36,883,32,278,66,156,42.3,36,102,35.3,38,53,71.7,76,63,13,124,39,64,22,3,10,0,82,74,-387,267
M. Carlson,USA,Foreigner,AcunsaGBC,19,300,2,112,29,52,55.8,15,52,28.8,9,15,60,42,27,15,12,9,11,0,3,6,1,39,21,-8,77
M. Motos,Spain,Spaniard,AcunsaGBC,35,114,1,27,7,25,28,3,13,23.1,4,6,66.7,25,19,6,10,3,7,4,2,2,0,14,10,-71,24
P. Tomàs,Spain,Spaniard,AcunsaGBC,34,868,28,274,49,101,48.5,49,140,35,29,36,80.6,165,111,54,33,26,29,33,2,9,3,61,60,-279,311
V. Okouo,Congo - Brazzaville,Foreigner,AcunsaGBC,36,694,21,354,145,284,51.1,0,2,0,64,108,59.3,194,131,63,9,20,73,4,12,8,12,90,94,-271,327
W. Magarity,Sweden,Foreigner,AcunsaGBC,35,443,5,163,33,66,50,25,83,30.1,22,26,84.6,70,51,19,15,8,20,15,10,4,7,43,26,-144,130
X. Oroz,Spain,Spaniard,AcunsaGBC,31,582,13,101,28,62,45.2,13,31,41.9,6,14,42.9,67,45,22,86,41,36,12,6,8,0,51,30,-114,176
A. Abrines,Spain,Spaniard,Barça,31,632,24,270,31,49,63.3,58,121,47.9,34,37,91.9,86,60,26,29,22,18,24,6,1,6,67,35,186,278
A. Hanga,Hungary,Foreigner,Barça,33,522,7,198,35,57,61.4,34,63,54,26,37,70.3,110,91,19,67,27,45,15,14,4,4,55,52,178,302
A. Pustovyi,Ukraine,Foreigner,Barça,23,304,14,164,64,101,63.4,0,0,0,36,51,70.6,68,38,30,8,8,28,6,16,3,11,42,49,155,188
B. Badio,Senegal,Foreigner,Barça,8,73,0,21,6,14,42.9,2,10,20,3,3,100,6,3,3,3,3,3,2,1,0,1,5,4,-10,14
B. Davies,USA,Foreigner,Barça,27,460,7,274,96,166,57.8,2,5,40,76,93,81.7,104,65,39,36,20,39,6,10,13,14,64,93,184,331
C. Higgins,USA,Foreigner,Barça,26,539,24,252,67,137,48.9,18,47,38.3,64,71,90.1,53,46,7,64,31,27,22,10,13,6,40,72,189,296
I. Badji,Senegal,Foreigner,Barça,3,12,0,2,0,0,0,0,0,0,2,2,100,4,4,0,0,0,3,0,1,0,0,4,1,-18,1
K. Kuric,USA,Foreigner,Barça,32,564,3,279,50,81,61.7,43,99,43.4,50,55,90.9,53,37,16,19,17,24,21,4,3,0,36,41,304,258
L. Bolmaro,Argentina,Foreigner,Barça,34,512,9,213,43,81,53.1,25,54,46.3,52,60,86.7,48,33,15,61,30,43,23,6,3,9,52,63,191,248
L. Westermann,France,Foreigner,Barça,15,228,5,58,9,23,39.1,12,36,33.3,4,6,66.7,21,17,4,43,4,19,5,0,2,0,25,19,147,59
M. Caicedo,Spain,Spaniard,Barça,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-3,-3
N. Calathes,USA,Foreigner,Barça,34,660,27,267,80,157,51,29,72,40.3,20,35,57.1,99,80,19,178,38,57,20,3,10,0,79,44,264,348
N. Mirotic,Montenegro,Foreigner,Barça,30,628,27,432,98,144,68.1,53,109,48.6,77,95,81.1,143,115,28,25,26,48,20,16,5,4,43,89,294,515
P. Gasol,Spain,Spaniard,Barça,8,124,4,73,22,42,52.4,5,8,62.5,14,15,93.3,33,27,6,12,2,8,0,5,1,1,9,20,45,103
P. Oriola,Spain,Spaniard,Barça,36,545,11,225,89,144,61.8,6,12,50,29,52,55.8,123,76,47,22,9,37,10,7,7,7,72,51,212,237
R. Smits,Latvia,Foreigner,Barça,34,542,8,216,58,102,56.9,19,52,36.5,43,58,74.1,97,64,33,21,19,35,11,2,5,11,67,56,140,212
S. Martínez,Spain,Spaniard,Barça,26,396,8,96,25,52,48.1,8,25,32,22,28,78.6,77,63,14,18,13,12,20,5,6,5,37,21,115,125
T. Heurtel,France,Foreigner,Barça,14,255,0,82,24,50,48,9,27,33.3,7,9,77.8,23,22,1,67,12,25,5,0,3,0,12,12,97,110
V. Claver,Spain,Spaniard,Barça,15,201,2,40,6,13,46.2,7,23,30.4,7,7,100,43,31,12,8,3,13,2,3,1,2,17,16,35,59
D. Dulkys,Lithuania,Foreigner,BAXIManresa,11,164,0,26,2,9,22.2,6,33,18.2,4,4,100,26,19,7,5,9,3,5,0,3,0,18,3,-43,11
D. García,Spain,Spaniard,BAXIManresa,18,188,5,50,10,16,62.5,9,35,25.7,3,5,60,17,15,2,38,5,23,0,0,2,0,38,14,-17,27
D. Pérez,Spain,Spaniard,BAXIManresa,24,580,19,188,36,92,39.1,29,97,29.9,29,36,80.6,48,41,7,157,24,69,5,1,2,0,62,65,-30,219
E. Báez,Dominican Republic,Foreigner,BAXIManresa,27,463,8,169,35,59,59.3,20,53,37.7,39,54,72.2,77,44,33,36,21,22,14,7,4,2,48,41,-78,205
F. Ferrari,USA,Foreigner,BAXIManresa,11,226,4,130,28,62,45.2,20,58,34.5,14,15,93.3,18,14,4,58,13,29,9,0,8,0,25,35,-13,119
G. Jou,Spain,Spaniard,BAXIManresa,26,457,8,122,20,35,57.1,20,71,28.2,22,28,78.6,92,62,30,21,17,17,18,4,6,2,22,31,-43,170
J. Joesaar,Finland,Foreigner,BAXIManresa,9,59,1,14,2,3,66.7,3,15,20,1,3,33.3,9,8,1,1,3,1,0,1,0,0,4,4,6,12
J. Tabu,Congo - Kinshasa,Foreigner,BAXIManresa,22,352,6,162,14,45,31.1,31,97,32,41,47,87.2,32,26,6,80,16,53,10,0,5,0,48,58,-59,139
J. Vaulet,Argentina,Foreigner,BAXIManresa,36,799,33,279,99,172,57.6,14,46,30.4,39,59,66.1,144,96,48,34,24,36,56,15,20,31,89,50,-78,276
L. Mutic,Bosnia,Foreigner,BAXIManresa,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Janning,USA,Foreigner,BAXIManresa,15,373,5,150,14,33,42.4,37,95,38.9,11,13,84.6,35,31,4,30,7,14,8,1,2,0,21,20,-86,127
M. Mason,USA,Foreigner,BAXIManresa,28,596,12,299,64,144,44.4,40,135,29.6,51,61,83.6,32,25,7,62,15,48,24,2,17,0,71,81,-88,170
M. Pantzar,Sweden,Foreigner,BAXIManresa,1,15,0,2,1,1,100,0,2,0,0,0,0,4,3,1,4,3,2,2,0,0,0,1,0,6,8
M. Peñarroya,Spain,Spaniard,BAXIManresa,13,34,0,13,0,4,0,4,9,44.4,1,2,50,1,1,0,5,1,5,0,0,1,0,6,2,-4,0
M. Sajus,Lithuania,Foreigner,BAXIManresa,35,329,6,186,69,110,62.7,0,0,0,48,61,78.7,92,50,42,12,3,32,6,5,5,8,55,50,1,202
P. Treviño,Spain,Spaniard,BAXIManresa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. Martínez,Spain,Spaniard,BAXIManresa,36,547,15,239,29,61,47.5,49,112,43.8,34,41,82.9,52,44,8,40,19,35,36,2,6,0,51,53,64,211
S. Eatherton,USA,Foreigner,BAXIManresa,36,824,25,506,183,291,62.9,20,48,41.7,80,106,75.5,208,132,76,55,23,50,28,12,22,34,114,101,-23,557
S. Hinrichs,USA,Foreigner,BAXIManresa,36,890,26,280,105,159,66,12,41,29.3,34,54,63,189,117,72,67,29,56,27,4,15,3,86,65,-37,374
Y. Sima,Spain,Spaniard,BAXIManresa,36,330,7,202,81,136,59.6,0,1,0,40,76,52.6,77,51,26,18,10,28,10,4,10,28,60,53,-63,174
A. Font,Spain,Spaniard,CasademontZgz,23,46,0,16,3,12,25,3,4,75,1,1,100,6,2,4,1,1,1,0,0,2,0,9,2,-24,4
D. Ennis,Canada,Foreigner,CasademontZgz,36,1040,32,565,146,247,59.1,56,170,32.9,105,137,76.6,116,101,15,112,53,89,122,6,21,7,64,127,-58,558
D. Seeley,USA,Foreigner,CasademontZgz,11,278,3,144,28,50,56,19,45,42.2,31,36,86.1,25,17,8,19,5,33,9,1,3,0,19,30,-6,116
E. Harris,Germany,Foreigner,CasademontZgz,19,434,14,253,86,137,62.8,4,10,40,69,75,92,84,65,19,27,11,27,18,3,10,12,41,64,-1,301
G. Knudsen,Denmark,Foreigner,CasademontZgz,5,5,0,2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,-5,-2
J. Barreiro,Spain,Spaniard,CasademontZgz,36,794,14,314,69,123,56.1,41,116,35.3,53,68,77.9,150,101,49,34,15,37,30,6,8,0,60,72,-96,342
J. Fernández,Spain,Spaniard,CasademontZgz,27,19,0,3,1,2,50,0,1,0,1,3,33.3,2,2,0,1,2,3,0,0,0,0,6,3,-22,-2
J. García,Spain,Spaniard,CasademontZgz,30,231,0,60,10,21,47.6,10,33,30.3,10,12,83.3,17,13,4,21,4,10,2,0,1,0,43,10,-15,22
J. Justiz,Cuba,Foreigner,CasademontZgz,18,104,2,25,11,33,33.3,0,1,0,3,3,100,19,14,5,4,2,9,0,3,1,4,15,8,-28,13
J. Thompson,USA,Foreigner,CasademontZgz,17,310,14,140,58,102,56.9,0,1,0,24,46,52.2,82,68,14,25,7,29,2,4,7,17,57,50,-11,148
J. Wiley,USA,Foreigner,CasademontZgz,14,267,8,146,61,103,59.2,0,1,0,24,31,77.4,52,36,16,15,7,11,10,7,4,12,29,25,-18,158
L. Rupnik,Slovenia,Foreigner,CasademontZgz,7,80,0,27,2,8,25,5,10,50,8,12,66.7,9,7,2,17,2,7,0,0,0,0,8,11,-15,36
N. Brussino,Argentina,Foreigner,CasademontZgz,36,896,21,397,78,137,56.9,56,131,42.7,73,88,83,129,109,20,95,43,86,44,4,5,18,101,109,66,436
P. Stosic,Serbia,Foreigner,CasademontZgz,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R. Benzing,Germany,Foreigner,CasademontZgz,36,728,21,356,61,135,45.2,50,151,33.1,84,104,80.8,88,72,16,24,26,35,19,13,7,0,78,88,1,280
R. San Miguel,Spain,Spaniard,CasademontZgz,25,531,22,95,13,26,50,21,67,31.3,6,16,37.5,71,63,8,90,20,34,2,1,4,0,57,35,-132,148
R. Sulaimon,USA,Foreigner,CasademontZgz,28,580,7,223,53,117,45.3,25,75,33.3,42,55,76.4,57,49,8,62,12,35,15,2,12,6,58,58,16,182
S. Konate,Mali,Foreigner,CasademontZgz,11,27,0,14,4,7,57.1,0,1,0,6,9,66.7,5,2,3,1,0,3,0,1,1,2,6,6,-33,10
T. Hlinason,Iceland,Foreigner,CasademontZgz,36,627,12,264,112,149,75.2,0,2,0,40,67,59.7,173,117,56,24,16,40,14,38,2,58,81,66,49,392
TJ Bray,USA,Foreigner,CasademontZgz,11,266,10,83,15,30,50,16,44,36.4,5,6,83.3,30,22,8,24,12,18,4,0,2,0,30,8,29,63
V. Krejci,Czech Republic,Foreigner,CasademontZgz,2,12,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,-7,-2
B. Tisma,Croatia,Foreigner,CoosurBetis,12,101,4,25,5,17,29.4,4,14,28.6,3,3,100,14,7,7,6,3,5,0,1,2,0,8,4,-18,16
I. Magassa,France,Foreigner,CoosurBetis,26,101,3,25,8,16,50,3,15,20,0,0,0,9,6,3,1,1,4,0,1,0,0,10,1,-61,4
J. Feldeine,USA,Foreigner,CoosurBetis,34,915,25,506,118,240,49.2,67,197,34,69,86,80.2,79,62,17,86,42,61,66,7,10,3,56,90,-133,414
J. Jordan,Jamaica,Foreigner,CoosurBetis,22,338,15,121,45,98,45.9,0,0,0,31,43,72.1,87,60,27,20,9,23,4,12,13,13,40,38,47,146
J. Randle,USA,Foreigner,CoosurBetis,22,364,7,197,53,111,47.7,21,61,34.4,28,33,84.8,23,21,2,48,12,49,8,0,6,0,41,33,-69,114
L. García,Spain,Spaniard,CoosurBetis,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0
M. Niang,Senegal,Foreigner,CoosurBetis,17,179,1,57,25,37,67.6,0,1,0,7,20,35,46,30,16,6,2,11,2,4,2,5,20,14,-62,70
M. Torres,Spain,Spaniard,CoosurBetis,35,225,0,68,11,32,34.4,7,26,26.9,25,31,80.6,26,22,4,19,9,18,4,1,3,0,35,43,-109,64
N. Kay,Australia,Foreigner,CoosurBetis,36,964,28,286,94,171,55,19,67,28.4,41,49,83.7,197,121,76,40,37,27,14,10,10,6,59,56,-101,397
N. Spires,UK,Foreigner,CoosurBetis,24,230,3,67,24,47,51.1,4,19,21.1,7,10,70,55,33,22,11,5,11,2,9,3,1,35,14,-98,71
O. Enechionyia,USA,Foreigner,CoosurBetis,16,171,1,52,7,15,46.7,9,32,28.1,11,14,78.6,36,24,12,5,10,17,4,9,1,2,27,11,-45,44
P. Almazán,Spain,Spaniard,CoosurBetis,36,662,19,114,17,54,31.5,17,58,29.3,29,37,78.4,97,69,28,36,30,28,5,2,5,0,64,46,-122,142
R. Harrow,USA,Foreigner,CoosurBetis,11,99,0,56,20,36,55.6,3,9,33.3,7,8,87.5,7,5,2,13,7,7,6,0,0,0,11,6,-33,48
T. Borg,Sweden,Foreigner,CoosurBetis,35,621,10,198,40,88,45.5,27,79,34.2,37,42,88.1,58,40,18,39,20,34,5,4,10,0,75,46,-94,141
TJ Campbell,USA,Foreigner,CoosurBetis,36,857,29,323,51,96,53.1,53,151,35.1,62,73,84.9,62,49,13,125,38,71,13,1,13,0,92,98,-51,317
Y. Ndoye,Senegal,Foreigner,CoosurBetis,36,758,20,417,135,237,57,0,2,0,147,217,67.7,189,114,75,17,30,76,6,27,15,34,89,196,-211,522
Y. Ouattara,Ghana,Foreigner,CoosurBetis,30,665,15,274,74,138,53.6,32,105,30.5,30,37,81.1,123,74,49,17,27,24,36,1,16,10,43,36,-66,251
A. Albicy,France,Foreigner,HerbalifeGC,35,805,21,264,38,90,42.2,41,118,34.7,65,83,78.3,50,40,10,135,44,82,9,0,5,0,73,156,-23,342
A. Balcerowski,Poland,Foreigner,HerbalifeGC,32,344,15,151,52,87,59.8,6,15,40,29,48,60.4,69,44,25,14,6,33,4,18,4,17,80,35,-58,113
A. Della Valle,Italy,Foreigner,HerbalifeGC,5,85,3,34,10,23,43.5,0,6,0,14,17,82.4,5,4,1,5,7,7,0,0,1,0,5,12,-34,28
AJ Slaughter,USA,Foreigner,HerbalifeGC,24,598,15,329,77,139,55.4,42,105,40,49,59,83.1,55,46,9,87,26,39,15,4,5,1,53,58,67,327
B. Burjanadze,Georgia,Foreigner,HerbalifeGC,21,298,3,102,24,47,51.1,9,30,30,27,38,71.1,55,40,15,16,6,14,4,0,1,1,28,44,-27,125
E. Clark,USA,Foreigner,HerbalifeGC,4,53,0,33,8,17,47.1,5,7,71.4,2,4,50,6,3,3,1,2,5,2,1,2,0,0,6,-41,29
F. Ferrari,USA,Foreigner,HerbalifeGC,12,223,3,92,17,48,35.4,16,41,39,10,12,83.3,14,11,3,26,11,16,4,0,2,0,20,23,-82,70
F. Santana,Spain,Spaniard,HerbalifeGC,26,65,0,19,6,11,54.5,2,10,20,1,1,100,3,2,1,9,4,5,0,1,2,0,9,2,-27,9
J. Beirán,Spain,Spaniard,HerbalifeGC,31,690,9,193,56,88,63.6,24,70,34.3,9,14,64.3,142,111,31,63,16,24,13,6,4,0,18,37,48,328
J. Kljajic,Montenegro,Foreigner,HerbalifeGC,2,13,0,2,0,0,0,0,1,0,2,2,100,2,1,1,1,0,2,0,1,0,0,0,2,-10,5
J. López,Spain,Spaniard,HerbalifeGC,4,20,0,5,1,1,100,1,4,25,0,0,0,1,1,0,2,0,1,0,0,0,0,3,0,14,1
J. Montero,Dominican Republic,Foreigner,HerbalifeGC,11,29,0,10,3,4,75,0,6,0,4,4,100,6,5,1,2,1,5,0,0,0,0,10,3,3,0
J. Shurna,USA,Foreigner,HerbalifeGC,34,796,22,283,70,117,59.8,37,86,43,32,40,80,148,104,44,37,42,19,19,18,3,7,50,40,34,392
J. Wiley,USA,Foreigner,HerbalifeGC,11,246,6,108,41,77,53.2,5,14,35.7,11,18,61.1,42,31,11,11,8,20,4,6,5,13,19,16,-74,95
K. Diop,Senegal,Foreigner,HerbalifeGC,32,230,3,78,29,51,56.9,0,1,0,20,40,50,58,30,28,7,5,13,2,13,3,11,44,33,-19,91
M. Costello,USA,Foreigner,HerbalifeGC,29,667,22,355,101,181,55.8,38,101,37.6,39,54,72.2,169,109,60,35,12,36,16,33,11,17,79,67,-66,387
M. Steinbergs,Estonia,Foreigner,HerbalifeGC,5,15,0,2,0,1,0,0,1,0,2,2,100,1,0,1,0,0,1,0,0,0,0,1,1,-4,0
O. Stevic,Serbia,Foreigner,HerbalifeGC,25,339,7,139,53,74,71.6,0,0,0,33,44,75,67,39,28,14,11,16,2,3,3,0,51,44,50,176
R. López,Spain,Spaniard,HerbalifeGC,3,6,0,3,1,1,100,0,0,0,1,1,100,2,0,2,0,0,0,0,0,0,0,0,1,0,6
S. Kilpatrick,USA,Foreigner,HerbalifeGC,16,328,4,191,41,86,47.7,22,56,39.3,43,50,86,25,20,5,30,15,22,16,0,6,1,26,42,31,163
S. Okoye,USA,Foreigner,HerbalifeGC,35,716,22,308,47,123,38.2,57,136,41.9,43,55,78.2,105,84,21,36,30,28,14,9,12,6,85,51,-45,247
T. Dimsa,Lithuania,Foreigner,HerbalifeGC,32,682,25,230,43,102,42.2,40,132,30.3,24,30,80,47,33,14,43,12,46,6,2,7,1,61,46,-102,109
A. Alonso,Spain,Spaniard,HeredaSPB,2,7,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,2,0,0,0,0,0,1,1,0,3
A. Barrera,Spain,Spaniard,HeredaSPB,34,155,0,22,1,2,50,6,23,26.1,2,2,100,10,9,1,5,8,2,8,0,0,0,9,4,-31,20
Á. Infante,Spain,Spaniard,HeredaSPB,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,-7,0
A. Renfroe,USA,Foreigner,HeredaSPB,33,747,27,340,82,150,54.7,39,83,47,59,79,74.7,101,78,23,164,32,77,43,6,11,0,76,91,77,438
D. Kravic,Bosnia,Foreigner,HeredaSPB,36,727,34,373,164,277,59.2,0,1,0,45,85,52.9,166,100,66,28,33,57,24,26,12,29,80,74,-23,397
G. Huskic,Serbia,Foreigner,HeredaSPB,6,25,0,12,6,7,85.7,0,0,0,0,4,0,2,1,1,6,3,3,0,0,0,0,3,4,-2,16
J. Rivero,Cuba,Foreigner,HeredaSPB,35,787,28,423,138,213,64.8,17,64,26.6,96,148,64.9,193,134,59,36,23,59,38,15,11,16,81,126,127,491
J. Sakho,Congo - Kinshasa,Foreigner,HeredaSPB,36,328,0,120,43,80,53.8,0,1,0,34,47,72.3,81,45,36,13,15,31,6,8,10,6,93,53,17,105
